API10,API12,Abstract,ActiveCommonName,ActiveTickerName,AmendmentFiledDate,ApprovedDate,Block,BottomHoleLatitudeWGS84,BottomHoleLongitudeWGS84,ContactName,ContactPhone,CountyParish,CreatedDate,DIBasin,DICountryCode,DICountryName,DICountyParishName,DIPlay,DIStateProvinceCode,DIStateProvinceName,DISubPlay,DeletedDate,District,DrillType,ExpiredDate,Field,Formation,H2SArea,LeaseName,LeaseNumber,OFSRegion,OperatorAddress,OperatorAlias,OperatorCity,OperatorCity30mi,OperatorCity50mi,OperatorState,OperatorZip,OrigApprovedDate,PermitDepth,PermitDepthUOM,PermitID,PermitNumber,PermitStatus,PermitType,Range,ReportedOperator,Section,StateProvince,SubmittedDate,SurfaceLatitudeWGS84,SurfaceLongitudeWGS84,Survey,Township,TrueVerticalDepth,TrueVerticalDepthUOM,UpdatedDate,WGID,WellNumber,WellStatus,WellType
4232942173,,795,CHEVRON,CVX,2018-08-02T00:00:00Z,2017-12-22T00:00:00Z,39 T3S,31.8784348,-102.0160582,BRIAN YERKES,4326877396,MIDLAND,2017-12-24T09:02:43.39Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2019-12-22T00:00:00Z,SPRABERRY,TREND AREA,FALSE,BRD WRIGLEY D,50384,PERMIAN BASIN,6301 DEAUVILLE BLVD,CHEVRON,MIDLAND,Midland,Midland,TX,79706,2017-12-22T00:00:00Z,11000,ft,1359183,833555,Expired,NewDrill,,CHEVRON U. S. A. INC.,12,TX,2017-11-27T00:00:00Z,31.8488697,-102.0043514,"T&P RR CO/LANIER, J A",,9742,ft,2020-08-10T07:39:23.707Z,18986800,0191WB,ACTIVE,OIL & GAS
4232942175,,795,CHEVRON,CVX,2018-08-07T00:00:00Z,2017-12-22T00:00:00Z,39 T3S,31.8796263,-102.0102327,BRIAN YERKES,4326877396,MIDLAND,2017-12-24T09:02:43.39Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2019-12-22T00:00:00Z,SPRABERRY,TREND AREA,FALSE,BRD WRIGLEY F,50384,PERMIAN BASIN,6301 DEAUVILLE BLVD,CHEVRON,MIDLAND,Midland,Midland,TX,79706,2017-12-22T00:00:00Z,11000,ft,1359173,833562,Expired,NewDrill,,CHEVRON U. S. A. INC.,12,TX,2017-11-27T00:00:00Z,31.8489044,-102.0041956,"T&P RR CO/LANIER, J A",,9776,ft,2020-08-10T07:39:23.707Z,18986802,0193WB,ACTIVE,OIL & GAS
4232934300,,784,ENDEAVOR ENERGY RESOURCES,,,2017-11-29T00:00:00Z,40 T3S,31.7657386,-102.1705692,MARTINA WARREN,4322624179,MIDLAND,2017-11-30T19:51:13.95Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,V,2019-11-29T00:00:00Z,SPRABERRY,TREND AREA,FALSE,PARKS '28',36233,PERMIAN BASIN,110 N MARIENFELD ST SUITE 200,ENDEAVOR ENERGY,MIDLAND,Midland,Midland,TX,79701,2017-11-29T00:00:00Z,10800,ft,1359172,833546,Expired,Recomplete,,ENDEAVOR ENERGY RESOURCES L.P.,28,TX,2017-11-27T00:00:00Z,31.7657386,-102.1705692,"T&P RR CO/ESTES, H P",,10800,ft,2020-08-10T07:39:23.707Z,17484802,3,ACTIVE,OIL
4232942131,,297,CONCHO RESOURCES,CXO,2018-01-08T00:00:00Z,2017-11-30T00:00:00Z,40 T4S,31.689473,-102.1150762,MICHELLE LANGSTON,4326837443,MIDLAND,2018-01-09T20:08:50.15Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2019-11-30T00:00:00Z,PEGASUS,CONSOLIDATED,FALSE,WINDHAM TXL C10,20118,PERMIAN BASIN,600 W ILLINOIS AVE,CONCHO OPERATING,MIDLAND,Midland,Midland,TX,79701,2017-11-30T00:00:00Z,11000,ft,1359170,833544,Expired,NewDrill,,COG OPERATING LLC,9,TX,2017-11-27T00:00:00Z,31.7116708,-102.1235646,T&P RR CO,,8863,ft,2020-08-10T07:39:23.707Z,18984103,5316LH,ACTIVE,OIL
4232934455,,781,ENDEAVOR ENERGY RESOURCES,,,2017-12-01T00:00:00Z,40 T3S,31.7798076,-102.1850666,MARTINA WARREN,4322624179,MIDLAND,2017-12-02T08:52:49.767Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,V,2019-12-01T00:00:00Z,SPRABERRY,TREND AREA,FALSE,PARKS '16',36265,PERMIAN BASIN,110 N MARIENFELD ST SUITE 200,ENDEAVOR ENERGY,MIDLAND,Midland,Midland,TX,79701,2017-12-01T00:00:00Z,11100,ft,1359169,833540,Expired,FieldTransfer,,ENDEAVOR ENERGY RESOURCES L.P.,16,TX,2017-11-27T00:00:00Z,31.7798076,-102.1850666,"T&P RR CO/ESTES, H P",,11100,ft,2020-08-10T07:39:23.707Z,17001387,2,ACTIVE,OIL
4232942135,,297,CONCHO RESOURCES,CXO,2018-01-08T00:00:00Z,2017-11-30T00:00:00Z,40,31.6892629,-102.1159442,MICHELLE LANGSTON,4326837443,MIDLAND,2018-01-09T20:08:50.15Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2019-11-30T00:00:00Z,PEGASUS,CONSOLIDATED,FALSE,WINDHAM TXL C11,20129,PERMIAN BASIN,600 W ILLINOIS AVE,CONCHO OPERATING,MIDLAND,Midland,Midland,TX,79701,2017-11-30T00:00:00Z,11000,ft,1359164,833559,Expired,NewDrill,,COG OPERATING LLC,9,TX,2017-11-27T00:00:00Z,31.711568,-102.1236452,T & P RR CO.,,8940,ft,2020-08-10T07:39:23.707Z,18984104,5305LH,ACTIVE,OIL
4232942174,,795,CHEVRON,CVX,2018-08-02T00:00:00Z,2017-12-22T00:00:00Z,39 T3S,31.8720719,-102.0108705,BRIAN YERKES,4326877396,MIDLAND,2017-12-24T09:02:43.39Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2019-12-22T00:00:00Z,SPRABERRY,TREND AREA,FALSE,BRD WRIGLEY E,50384,PERMIAN BASIN,6301 DEAUVILLE BLVD,CHEVRON,MIDLAND,Midland,Midland,TX,79706,2017-12-22T00:00:00Z,11000,ft,1359163,833558,Expired,NewDrill,,CHEVRON U. S. A. INC.,12,TX,2017-11-27T00:00:00Z,31.8488869,-102.0042733,"T&P RR CO/LANIER, J A",,9930,ft,2020-08-10T07:39:23.707Z,18986801,0192WB,ACTIVE,OIL & GAS
4232933644,,768,ENDEAVOR ENERGY RESOURCES,,,2017-12-01T00:00:00Z,40 T3S,31.7619774,-102.1344772,MARTINA WARREN,4322624179,MIDLAND,2017-12-02T08:52:49.767Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,V,2019-12-01T00:00:00Z,SPRABERRY,TREND AREA,FALSE,PARKS '26',36144,PERMIAN BASIN,110 N MARIENFELD ST SUITE 200,ENDEAVOR ENERGY,MIDLAND,Midland,Midland,TX,79701,2017-12-01T00:00:00Z,10380,ft,1359160,833543,Expired,FieldTransfer,,ENDEAVOR ENERGY RESOURCES L.P.,26,TX,2017-11-27T00:00:00Z,31.7619774,-102.1344772,"T&P RR CO / CAVENDER, J L",,10380,ft,2020-08-10T07:39:23.707Z,17646091,1,ACTIVE,OIL
4232942128,,289,OVINTIV INC.,OVV,2018-02-09T00:00:00Z,2017-11-30T00:00:00Z,40 T3S,31.7828492,-102.1050586,CHELSEA CARPENTER,7208765176,MIDLAND,2018-02-12T19:45:25.8Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2019-11-30T00:00:00Z,SPRABERRY,TREND AREA,FALSE,WINDHAM 33X,50758,PERMIAN BASIN,370 17TH STREET STE 1700,ENCANA O&G,DENVER,Denver,Denver,CO,80202,2017-11-30T00:00:00Z,10300,ft,1359151,833528,Expired,NewDrill,,ENCANA OIL & GAS(USA) INC.,33,TX,2017-11-22T00:00:00Z,31.7549001,-102.0972639,T&P RR CO,,9728,ft,2020-08-10T07:39:23.707Z,18984102,11HM,ACTIVE,OIL & GAS
4232942127,,289,OVINTIV INC.,OVV,,2017-11-30T00:00:00Z,40 T3S,31.7826576,-102.1058449,CHELSEA CARPENTER,7208765176,MIDLAND,2017-12-01T19:47:51.02Z,MIDLAND,US,UNITED STATES,MIDLAND (TX),MIDLAND,TX,TEXAS,,,8,H,2019-11-30T00:00:00Z,SPRABERRY,TREND AREA,FALSE,WINDHAM 33X,50758,PERMIAN BASIN,370 17TH STREET STE 1700,ENCANA O&G,DENVER,Denver,Denver,CO,80202,2017-11-30T00:00:00Z,10300,ft,1359150,833527,Expired,NewDrill,,ENCANA OIL & GAS(USA) INC.,33,TX,2017-11-22T00:00:00Z,31.7548613,-102.0974167,T&P RR CO,,9042,ft,2020-08-10T07:39:23.707Z,18984101,10HF,ACTIVE,OIL & GAS
